ISO;Score;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
KEN;51,15;116;49,17;115;40,52;121;66,82;71;56,25;120;42,99;136;Afrique;Kenya;Kenya;Kenia;Quênia ;كينيا;کنیا;2023;69;-47;64,59;-13,44
BOL;51,09;117;46,53;127;45,72;96;60,12;97;56,4;119;46,68;130;Amériques;Bolivie;Bolivia;Bolivia;Bolívia ;بوليفيا;بلیوی;2023;126;9;47,58;3,51
SSD;50,62;118;49,46;114;48,32;78;56,06;110;47,73;141;51,54;123;Afrique;Soudan du Sud;South Sudan;Sudán del Sur;Sudão do Sul ;جمهورية جنوب السودان;سودان جنوبی;2023;128;10;47,06;3,56
LBN;50,46;119;51,63;108;35,69;147;48,11;130;58,86;106;58;108;MENA;Liban;Lebanon;Líbano;Líbano ;لبنان;لبنان;2023;130;11;46,58;3,88
GNQ;50,35;120;43,85;136;36,93;138;57,92;104;39,58;150;73,47;87;Afrique;Guinée Équatoriale;Equatorial Guinea;Guinea Ecuatorial;Guiné Equatorial ;غينيا الاستوائية;گینه اکوادور;2023;141;21;43,96;6,39
TUN;50,11;121;58,13;74;34,97;150;49,06;128;53,79;127;54,6;114;MENA;Tunisie;Tunisia;Túnez;Tunísia ;تونس;تونس;2023;94;-27;58,49;-8,38
KGZ;49,91;122;48,13;123;47,25;86;50,19;127;49,09;138;54,91;113;EEAC;Kirghizistan;Kyrgyzstan;Kirguistán;Quirguistão ;قرغيزستان;قرقیزستان;2023;72;-50;64,25;-14,34
NGA;49,56;123;51,96;107;44,12;110;50,54;126;63,8;88;37,38;147;Afrique;Nigeria;Nigeria;Nigeria;Nigéria ;نيجيريا;نیجریه;2023;129;6;46,79;2,77
COD;48,55;124;51,03;110;44,36;109;52;122;59,94;101;35,42;153;Afrique;RD Congo;DR Congo;RD Congo;RD Congo;جمهورية الكونغو الديمقراطية;جمهوری دمکراتیک کنگو;2023;125;1;47,66;0,89
AGO;48,3;125;43,57;137;31,79;163;51,21;125;54,71;126;60,2;104;Afrique;Angola;Angola;Angola;Angola ;أنغولا;آنگولا;2023;99;-26;57,17;-8,87
ZWE;48,17;126;42,08;143;37,58;135;57,39;106;60,8;96;42,98;137;Afrique;Zimbabwe;Zimbabwe;Zimbabue;Zimbábue ;زيمبابوي;زیمبابوه;2023;137;11;44,94;3,23
GTM;48,12;127;42,64;140;40,09;124;64,15;81;57,58;113;36,15;151;Amériques;Guatemala;Guatemala;Guatemala;Guatemala ;غواتيمالا;گواتمالا;2023;124;-3;47,94;0,18
